geneA_id	geneB_id	geneA_position	geneB_position	intervening_genes	operon_id	operon_length
P0ABL5	P33934	7	5	1	174082	15
P33931	P33934	8	5	2	174082	15
P0ABL8	P33934	9	5	3	174082	15
P0ABM1	P33934	10	5	4	174082	15
P0ABM5	P33934	11	5	5	174082	15
P33934	P69490	5	12	6	174082	15
P33927	P33934	13	5	7	174082	15
P0AA86	P33934	14	5	8	174082	15
P0ABM9	P33934	15	5	9	174082	15
P0ABL3	P0ABL5	6	7	0	174082	15
P0ABL3	P33931	6	8	1	174082	15
P0ABL3	P0ABL8	6	9	2	174082	15
P0ABL3	P0ABM1	6	10	3	174082	15
P0ABL3	P0ABM5	6	11	4	174082	15
P0ABL3	P69490	6	12	5	174082	15
P0ABL3	P33927	6	13	6	174082	15
P0AA86	P0ABL3	14	6	7	174082	15
P0ABL3	P0ABM9	6	15	8	174082	15
P0ABL5	P33931	7	8	0	174082	15
P0ABL5	P0ABL8	7	9	1	174082	15
P0ABL5	P0ABM1	7	10	2	174082	15
P0ABL5	P0ABM5	7	11	3	174082	15
P0ABL5	P69490	7	12	4	174082	15
P0ABL5	P33927	7	13	5	174082	15
P0AA86	P0ABL5	14	7	6	174082	15
P0ABL5	P0ABM9	7	15	7	174082	15
P0ABL8	P33931	9	8	0	174082	15
P0ABM1	P33931	10	8	1	174082	15
P0ABM5	P33931	11	8	2	174082	15
P33931	P69490	8	12	3	174082	15
P33927	P33931	13	8	4	174082	15
P0AA86	P33931	14	8	5	174082	15
P0ABM9	P33931	15	8	6	174082	15
P0ABL8	P0ABM1	9	10	0	174082	15
P0ABL8	P0ABM5	9	11	1	174082	15
P0ABL8	P69490	9	12	2	174082	15
P0ABL8	P33927	9	13	3	174082	15
P0AA86	P0ABL8	14	9	4	174082	15
P0ABL8	P0ABM9	9	15	5	174082	15
P0ABM1	P0ABM5	10	11	0	174082	15
P0ABM1	P69490	10	12	1	174082	15
P0ABM1	P33927	10	13	2	174082	15
P0AA86	P0ABM1	14	10	3	174082	15
P0ABM1	P0ABM9	10	15	4	174082	15
P0ABM5	P69490	11	12	0	174082	15
P0ABM5	P33927	11	13	1	174082	15
P0AA86	P0ABM5	14	11	2	174082	15
P0ABM5	P0ABM9	11	15	3	174082	15
P33927	P69490	13	12	0	174082	15
P0AA86	P69490	14	12	1	174082	15
P0ABM9	P69490	15	12	2	174082	15
P0AA86	P33927	14	13	0	174082	15
P0ABM9	P33927	15	13	1	174082	15
P0AA86	P0ABM9	14	15	0	174082	15
P45757	P45758	1	2	0	174439	12
P45757	P45759	1	3	1	174439	12
P41441	P45757	4	1	2	174439	12
P41442	P45757	5	1	3	174439	12
P41443	P45757	6	1	4	174439	12
P45757	P45760	1	7	5	174439	12
P45757	P45761	1	8	6	174439	12
P45757	P45762	1	9	7	174439	12
P45757	P45763	1	10	8	174439	12
P36678	P45757	11	1	9	174439	12
P25960	P45757	12	1	10	174439	12
P45758	P45759	2	3	0	174439	12
P41441	P45758	4	2	1	174439	12
P41442	P45758	5	2	2	174439	12
P41443	P45758	6	2	3	174439	12
P45758	P45760	2	7	4	174439	12
P45758	P45761	2	8	5	174439	12
P45758	P45762	2	9	6	174439	12
P45758	P45763	2	10	7	174439	12
P36678	P45758	11	2	8	174439	12
P25960	P45758	12	2	9	174439	12
P41441	P45759	4	3	0	174439	12
P41442	P45759	5	3	1	174439	12
P41443	P45759	6	3	2	174439	12
P45759	P45760	3	7	3	174439	12
P45759	P45761	3	8	4	174439	12
P45759	P45762	3	9	5	174439	12
P45759	P45763	3	10	6	174439	12
P36678	P45759	11	3	7	174439	12
P25960	P45759	12	3	8	174439	12
P41441	P41442	4	5	0	174439	12
P41441	P41443	4	6	1	174439	12
P41441	P45760	4	7	2	174439	12
P41441	P45761	4	8	3	174439	12
P41441	P45762	4	9	4	174439	12
P41441	P45763	4	10	5	174439	12
P36678	P41441	11	4	6	174439	12
P25960	P41441	12	4	7	174439	12
P41442	P41443	5	6	0	174439	12
P41442	P45760	5	7	1	174439	12
P41442	P45761	5	8	2	174439	12
P41442	P45762	5	9	3	174439	12
P41442	P45763	5	10	4	174439	12
P36678	P41442	11	5	5	174439	12
P25960	P41442	12	5	6	174439	12
P41443	P45760	6	7	0	174439	12
P41443	P45761	6	8	1	174439	12
P41443	P45762	6	9	2	174439	12
P41443	P45763	6	10	3	174439	12
P36678	P41443	11	6	4	174439	12
P25960	P41443	12	6	5	174439	12
P45760	P45761	7	8	0	174439	12
P45760	P45762	7	9	1	174439	12
P45760	P45763	7	10	2	174439	12
P36678	P45760	11	7	3	174439	12
P25960	P45760	12	7	4	174439	12
P45761	P45762	8	9	0	174439	12
P45761	P45763	8	10	1	174439	12
P36678	P45761	11	8	2	174439	12
P25960	P45761	12	8	3	174439	12
P45762	P45763	9	10	0	174439	12
P36678	P45762	11	9	1	174439	12
P25960	P45762	12	9	2	174439	12
P36678	P45763	11	10	0	174439	12
P25960	P45763	12	10	1	174439	12
P25960	P36678	12	11	0	174439	12
P40719	P52076	2	1	0	174250	2
P0A9E0	P30149	1	2	0	173672	2
P37636	P37637	1	2	0	174403	2
P0ACU5	P0AF40	1	2	0	174314	2
P0ACJ8	P45537	1	2	0	174434	2
P0AFG0	P0AG96	2	1	0	174311	2
P0ABC7	P25519	2	1	0	174476	3
P0ABC3	P25519	3	1	1	174476	3
P0ABC3	P0ABC7	3	2	0	174476	3
P39371	P69856	2	1	0	174498	3
P39370	P69856	3	1	1	174498	3
P39370	P39371	3	2	0	174498	3
P0AB24	P31545	1	2	0	173869	2
P17846	P38038	2	1	0	174195	3
P17854	P38038	3	1	1	174195	3
P17846	P17854	2	3	0	174195	3
P12994	P12995	2	1	0	173821	2
P05804	P0CE44	1	2	0	173976	3
P05804	Q47706	1	3	1	173976	3
P0CE44	Q47706	2	3	0	173976	3
P15639	P15640	1	2	0	174304	2
P0CF60	Q47138	2	1	0	173968	3
P76168	Q47138	3	1	1	173968	3
P0CF60	P76168	2	3	0	173968	3
P32715	P32716	2	1	0	174458	3
P32714	P32716	3	1	1	174458	3
P32714	P32715	3	2	0	174458	3
P00914	P24252	2	1	0	173806	2
P0ABT8	P13029	2	1	0	174318	2
P0AEU7	P21645	1	2	0	173695	8
P0A6Q6	P0AEU7	3	1	1	173695	8
P0A722	P0AEU7	4	1	2	173695	8
P0AEU7	P10441	1	5	3	173695	8
P0AEU7	P10442	1	6	4	173695	8
P0AEU7	P10443	1	7	5	173695	8
P0ABD5	P0AEU7	8	1	6	173695	8
P0A6Q6	P21645	3	2	0	173695	8
P0A722	P21645	4	2	1	173695	8
P10441	P21645	5	2	2	173695	8
P10442	P21645	6	2	3	173695	8
P10443	P21645	7	2	4	173695	8
P0ABD5	P21645	8	2	5	173695	8
P0A6Q6	P0A722	3	4	0	173695	8
P0A6Q6	P10441	3	5	1	173695	8
P0A6Q6	P10442	3	6	2	173695	8
P0A6Q6	P10443	3	7	3	173695	8
P0A6Q6	P0ABD5	3	8	4	173695	8
P0A722	P10441	4	5	0	173695	8
P0A722	P10442	4	6	1	173695	8
P0A722	P10443	4	7	2	173695	8
P0A722	P0ABD5	4	8	3	173695	8
P10441	P10442	5	6	0	173695	8
P10441	P10443	5	7	1	173695	8
P0ABD5	P10441	8	5	2	173695	8
P10442	P10443	6	7	0	173695	8
P0ABD5	P10442	8	6	1	173695	8
P0ABD5	P10443	8	7	0	173695	8
P31549	P31550	2	1	0	173673	3
P31548	P31550	3	1	1	173673	3
P31548	P31549	3	2	0	173673	3
P0A894	P69829	2	1	0	174288	3
P0A9N0	P69829	3	1	1	174288	3
P0A894	P0A9N0	2	3	0	174288	3
P45800	P64636	1	2	0	174426	4
P0ACG8	P45800	3	1	1	174426	4
P0A6Y5	P45800	4	1	2	174426	4
P0ACG8	P64636	3	2	0	174426	4
P0A6Y5	P64636	4	2	1	174426	4
P0A6Y5	P0ACG8	4	3	0	174426	4
P39352	P39353	1	2	0	174491	2
Q46908	Q46909	2	1	0	174197	3
Q46907	Q46909	3	1	1	174197	3
Q46907	Q46908	3	2	0	174197	3
P37443	P60752	1	2	0	173850	6
P27300	P37443	3	1	1	173850	6
P37443	P75843	1	4	2	173850	6
P0AAZ7	P37443	5	1	3	173850	6
P04951	P37443	6	1	4	173850	6
P27300	P60752	3	2	0	173850	6
P60752	P75843	2	4	1	173850	6
P0AAZ7	P60752	5	2	2	173850	6
P04951	P60752	6	2	3	173850	6
P27300	P75843	3	4	0	173850	6
P0AAZ7	P27300	5	3	1	173850	6
P04951	P27300	6	3	2	173850	6
P0AAZ7	P75843	5	4	0	173850	6
P04951	P75843	6	4	1	173850	6
P04951	P0AAZ7	6	5	0	173850	6
P05719	P08957	2	1	0	174506	2
P39362	P39363	2	1	0	174495	3
P39361	P39363	3	1	1	174495	3
P39361	P39362	3	2	0	174495	3
P76538	P76539	2	1	0	174129	2
P03023	P77569	2	1	0	173732	2
P0A6T9	P27248	2	1	0	174227	3
P27248	P33195	1	3	1	174227	3
P0A6T9	P33195	2	3	0	174227	3
P0A6D3	P23721	2	1	0	173848	2
P77425	P77555	2	1	0	173771	3
P75713	P77555	3	1	1	173771	3
P75713	P77425	3	2	0	173771	3
P00803	P60785	2	1	0	174158	2
P0AFA5	P31600	1	2	0	173780	3
P0AFA5	P37325	1	3	1	173780	3
P31600	P37325	2	3	0	173780	3
P0AEK0	P76280	2	1	0	174014	2
P0ABR5	Q47140	1	2	0	174152	6
P0ABR5	P0ABW0	1	3	1	174152	6
P0ABR5	P0CI31	1	4	2	174152	6
P0ABR5	P77650	1	5	3	174152	6
P0ABR5	P0AD47	1	6	4	174152	6
P0ABW0	Q47140	3	2	0	174152	6
P0CI31	Q47140	4	2	1	174152	6
P77650	Q47140	5	2	2	174152	6
P0AD47	Q47140	6	2	3	174152	6
P0ABW0	P0CI31	3	4	0	174152	6
P0ABW0	P77650	3	5	1	174152	6
P0ABW0	P0AD47	3	6	2	174152	6
P0CI31	P77650	4	5	0	174152	6
P0AD47	P0CI31	6	4	1	174152	6
P0AD47	P77650	6	5	0	174152	6
P0C054	P0C058	1	2	0	174366	2
P77249	P77468	1	2	0	173775	4
P75715	P77249	3	1	1	173775	4
P38052	P77249	4	1	2	173775	4
P75715	P77468	3	2	0	173775	4
P38052	P77468	4	2	1	173775	4
P38052	P75715	4	3	0	173775	4
P04079	P0ADG7	2	1	0	174146	2
P75683	P77713	1	2	0	173716	2
P24240	P24241	2	1	0	174187	2
P33590	P33591	1	2	0	174409	6
P0AFA9	P33590	3	1	1	174409	6
P33590	P33593	1	4	2	174409	6
P33590	P33594	1	5	3	174409	6
P0A6Z6	P33590	6	1	4	174409	6
P0AFA9	P33591	3	2	0	174409	6
P33591	P33593	2	4	1	174409	6
P33591	P33594	2	5	2	174409	6
P0A6Z6	P33591	6	2	3	174409	6
P0AFA9	P33593	3	4	0	174409	6
P0AFA9	P33594	3	5	1	174409	6
P0A6Z6	P0AFA9	6	3	2	174409	6
P33593	P33594	4	5	0	174409	6
P0A6Z6	P33593	6	4	1	174409	6
P0A6Z6	P33594	6	5	0	174409	6
P52007	P67826	1	2	0	174024	2
P76298	P76299	2	1	0	174025	3
P76297	P76299	3	1	1	174025	3
P76297	P76298	3	2	0	174025	3
P76090	P76091	1	2	0	173938	4
P76090	P76092	1	3	1	173938	4
P76090	P76093	1	4	2	173938	4
P76091	P76092	2	3	0	173938	4
P76091	P76093	2	4	1	173938	4
P76092	P76093	3	4	0	173938	4
P45532	P64624	2	1	0	174437	4
P45531	P64624	3	1	1	174437	4
P45530	P64624	4	1	2	174437	4
P45531	P45532	3	2	0	174437	4
P45530	P45532	4	2	1	174437	4
P45530	P45531	4	3	0	174437	4
P52126	P52127	2	1	0	174167	2
P0ADY3	P60624	1	2	0	174442	12
P0ADY3	P62399	1	3	1	174442	12
P0ADY3	P0AG59	1	4	2	174442	12
P0A7W7	P0ADY3	5	1	3	174442	12
P0ADY3	P0AG55	1	6	4	174442	12
P0ADY3	P0C018	1	7	5	174442	12
P0A7W1	P0ADY3	8	1	6	174442	12
P0ADY3	P0AG51	1	9	7	174442	12
P02413	P0ADY3	10	1	8	174442	12
P0ADY3	P0AGA2	1	11	9	174442	12
P0A7Q6	P0ADY3	12	1	10	174442	12
P60624	P62399	2	3	0	174442	12
P0AG59	P60624	4	2	1	174442	12
P0A7W7	P60624	5	2	2	174442	12
P0AG55	P60624	6	2	3	174442	12
P0C018	P60624	7	2	4	174442	12
P0A7W1	P60624	8	2	5	174442	12
P0AG51	P60624	9	2	6	174442	12
P02413	P60624	10	2	7	174442	12
P0AGA2	P60624	11	2	8	174442	12
P0A7Q6	P60624	12	2	9	174442	12
P0AG59	P62399	4	3	0	174442	12
P0A7W7	P62399	5	3	1	174442	12
P0AG55	P62399	6	3	2	174442	12
P0C018	P62399	7	3	3	174442	12
P0A7W1	P62399	8	3	4	174442	12
P0AG51	P62399	9	3	5	174442	12
P02413	P62399	10	3	6	174442	12
P0AGA2	P62399	11	3	7	174442	12
P0A7Q6	P62399	12	3	8	174442	12
P0A7W7	P0AG59	5	4	0	174442	12
P0AG55	P0AG59	6	4	1	174442	12
P0AG59	P0C018	4	7	2	174442	12
P0A7W1	P0AG59	8	4	3	174442	12
P0AG51	P0AG59	9	4	4	174442	12
P02413	P0AG59	10	4	5	174442	12
P0AG59	P0AGA2	4	11	6	174442	12
P0A7Q6	P0AG59	12	4	7	174442	12
P0A7W7	P0AG55	5	6	0	174442	12
P0A7W7	P0C018	5	7	1	174442	12
P0A7W1	P0A7W7	8	5	2	174442	12
P0A7W7	P0AG51	5	9	3	174442	12
P02413	P0A7W7	10	5	4	174442	12
P0A7W7	P0AGA2	5	11	5	174442	12
P0A7Q6	P0A7W7	12	5	6	174442	12
P0AG55	P0C018	6	7	0	174442	12
P0A7W1	P0AG55	8	6	1	174442	12
P0AG51	P0AG55	9	6	2	174442	12
P02413	P0AG55	10	6	3	174442	12
P0AG55	P0AGA2	6	11	4	174442	12
P0A7Q6	P0AG55	12	6	5	174442	12
P0A7W1	P0C018	8	7	0	174442	12
P0AG51	P0C018	9	7	1	174442	12
P02413	P0C018	10	7	2	174442	12
P0AGA2	P0C018	11	7	3	174442	12
P0A7Q6	P0C018	12	7	4	174442	12
P0A7W1	P0AG51	8	9	0	174442	12
P02413	P0A7W1	10	8	1	174442	12
P0A7W1	P0AGA2	8	11	2	174442	12
P0A7Q6	P0A7W1	12	8	3	174442	12
P02413	P0AG51	10	9	0	174442	12
P0AG51	P0AGA2	9	11	1	174442	12
P0A7Q6	P0AG51	12	9	2	174442	12
P02413	P0AGA2	10	11	0	174442	12
P02413	P0A7Q6	10	12	1	174442	12
P0A7Q6	P0AGA2	12	11	0	174442	12
P37127	P37128	1	2	0	174135	2
Q46890	Q46891	1	2	0	174191	3
Q46890	Q46892	1	3	1	174191	3
Q46891	Q46892	2	3	0	174191	3
P16256	P45566	2	1	0	174300	3
P0A8T1	P45566	3	1	1	174300	3
P0A8T1	P16256	3	2	0	174300	3
P66899	Q46803	2	1	0	174220	5
P65807	Q46803	3	1	1	174220	5
Q46803	Q46806	1	4	2	174220	5
Q46803	Q46807	1	5	3	174220	5
P65807	P66899	3	2	0	174220	5
P66899	Q46806	2	4	1	174220	5
P66899	Q46807	2	5	2	174220	5
P65807	Q46806	3	4	0	174220	5
P65807	Q46807	3	5	1	174220	5
Q46806	Q46807	4	5	0	174220	5
P76219	P76220	1	2	0	173996	7
P76219	P76221	1	3	1	173996	7
P76219	P76222	1	4	2	173996	7
P76219	P76223	1	5	3	173996	7
P76219	P76224	1	6	4	173996	7
P76219	P76909	1	7	5	173996	7
P76220	P76221	2	3	0	173996	7
P76220	P76222	2	4	1	173996	7
P76220	P76223	2	5	2	173996	7
P76220	P76224	2	6	3	173996	7
P76220	P76909	2	7	4	173996	7
P76221	P76222	3	4	0	173996	7
P76221	P76223	3	5	1	173996	7
P76221	P76224	3	6	2	173996	7
P76221	P76909	3	7	3	173996	7
P76222	P76223	4	5	0	173996	7
P76222	P76224	4	6	1	173996	7
P76222	P76909	4	7	2	173996	7
P76223	P76224	5	6	0	173996	7
P76223	P76909	5	7	1	173996	7
P76224	P76909	6	7	0	173996	7
P02924	P0AAF3	1	2	0	174030	3
P02924	P0AE26	1	3	1	174030	3
P0AAF3	P0AE26	2	3	0	174030	3
P37759	P37760	1	2	0	174051	10
P37744	P37759	3	1	1	174051	10
P37745	P37759	4	1	2	174051	10
P37746	P37759	5	1	3	174051	10
P37747	P37759	6	1	4	174051	10
P37748	P37759	7	1	5	174051	10
P37749	P37759	8	1	6	174051	10
P37750	P37759	9	1	7	174051	10
P37751	P37759	10	1	8	174051	10
P37744	P37760	3	2	0	174051	10
P37745	P37760	4	2	1	174051	10
P37746	P37760	5	2	2	174051	10
P37747	P37760	6	2	3	174051	10
P37748	P37760	7	2	4	174051	10
P37749	P37760	8	2	5	174051	10
P37750	P37760	9	2	6	174051	10
P37751	P37760	10	2	7	174051	10
P37744	P37745	3	4	0	174051	10
P37744	P37746	3	5	1	174051	10
P37744	P37747	3	6	2	174051	10
P37744	P37748	3	7	3	174051	10
P37744	P37749	3	8	4	174051	10
P37744	P37750	3	9	5	174051	10
P37744	P37751	3	10	6	174051	10
P37745	P37746	4	5	0	174051	10
P37745	P37747	4	6	1	174051	10
P37745	P37748	4	7	2	174051	10
P37745	P37749	4	8	3	174051	10
P37745	P37750	4	9	4	174051	10
P37745	P37751	4	10	5	174051	10
P37746	P37747	5	6	0	174051	10
P37746	P37748	5	7	1	174051	10
P37746	P37749	5	8	2	174051	10
P37746	P37750	5	9	3	174051	10
P37746	P37751	5	10	4	174051	10
P37747	P37748	6	7	0	174051	10
P37747	P37749	6	8	1	174051	10
P37747	P37750	6	9	2	174051	10
P37747	P37751	6	10	3	174051	10
P37748	P37749	7	8	0	174051	10
P37748	P37750	7	9	1	174051	10
P37748	P37751	7	10	2	174051	10
P37749	P37750	8	9	0	174051	10
P37749	P37751	8	10	1	174051	10
P37750	P37751	9	10	0	174051	10
P0AG38	P15043	2	1	0	174342	2
P0A8I5	P38521	1	2	0	174238	2
P0CF88	P75679	2	1	0	173711	3
P75679	P75680	1	3	1	173711	3
P0CF88	P75680	2	3	0	173711	3
P75793	P75794	2	1	0	173830	2
P0CF66	P0CF79	1	2	0	173871	2
P37769	Q46938	2	1	0	174215	2
P75853	P80644	2	1	0	173853	5
P80644	P80645	1	3	1	173853	5
P75851	P80644	4	1	2	173853	5
P0AAI1	P80644	5	1	3	173853	5
P75853	P80645	2	3	0	173853	5
P75851	P75853	4	2	1	173853	5
P0AAI1	P75853	5	2	2	173853	5
P75851	P80645	4	3	0	173853	5
P0AAI1	P80645	5	3	1	173853	5
P0AAI1	P75851	5	4	0	173853	5
P37051	P37052	2	1	0	173906	2
P76577	P76578	2	1	0	174150	2
P76141	P77432	1	2	0	173956	2
P06983	P09126	1	2	0	174345	4
P06983	P09127	1	3	1	174345	4
P06983	P0ACB7	1	4	2	174345	4
P09126	P09127	2	3	0	174345	4
P09126	P0ACB7	2	4	1	174345	4
P09127	P0ACB7	3	4	0	174345	4
P52131	P52132	1	2	0	174169	2
P06709	P08373	2	1	0	174312	2
P0A7B1	P0AFL6	1	2	0	174144	2
P0AC96	P46859	2	1	0	174418	2
P64578	P67701	1	2	0	174261	2
P0AAR0	P0ACE3	1	2	0	173757	2
P17334	P69791	1	2	0	173994	3
P17334	P17410	1	3	1	173994	3
P17410	P69791	3	2	0	173994	3
P76111	P76112	2	1	0	173943	2
P0ACC9	P77414	2	1	0	174054	4
P71237	P77414	3	1	1	174054	4
P71238	P77414	4	1	2	174054	4
P0ACC9	P71237	2	3	0	174054	4
P0ACC9	P71238	2	4	1	174054	4
P71237	P71238	3	4	0	174054	4
P52599	P52600	1	2	0	174116	2
P0ABW9	P0ABX2	1	2	0	173883	5
P0ABW9	P75936	1	3	1	173883	5
P0ABW9	P75937	1	4	2	173883	5
P0ABW9	P75938	1	5	3	173883	5
P0ABX2	P75936	2	3	0	173883	5
P0ABX2	P75937	2	4	1	173883	5
P0ABX2	P75938	2	5	2	173883	5
P75936	P75937	3	4	0	173883	5
P75936	P75938	3	5	1	173883	5
P75937	P75938	4	5	0	173883	5
P0AGM7	P69931	1	2	0	174142	2
P07001	P0AB67	1	2	0	173973	2
P0AA93	P0AE39	1	2	0	174119	3
P0AA93	P77396	1	3	1	174119	3
P0AE39	P77396	2	3	0	174119	3
P0A759	P0AF18	1	2	0	173798	4
P0A759	P0AF20	1	3	1	173798	4
P0A759	P0AF24	1	4	2	173798	4
P0AF18	P0AF20	2	3	0	173798	4
P0AF18	P0AF24	2	4	1	173798	4
P0AF20	P0AF24	3	4	0	173798	4
P0AD42	P68398	1	2	0	174155	2
P37645	P37646	2	1	0	174401	2
P37692	P67910	2	1	0	174380	4
P24173	P67910	3	1	1	174380	4
P27243	P67910	4	1	2	174380	4
P24173	P37692	3	2	0	174380	4
P27243	P37692	4	2	1	174380	4
P24173	P27243	3	4	0	174380	4
P32693	P32694	1	2	0	174453	2
P67697	P76106	2	1	0	173941	2
P0AAJ3	P24183	2	1	0	173949	3
P0AEK7	P24183	3	1	1	173949	3
P0AAJ3	P0AEK7	2	3	0	173949	3
P64429	P76562	1	2	0	174137	3
P64429	P76561	1	3	1	174137	3
P76561	P76562	3	2	0	174137	3
P0ACY3	P76235	1	2	0	174001	2
P0ADM8	P0AGE6	1	2	0	174360	2
P0A710	P21365	2	1	0	173910	3
P0A8Z0	P21365	3	1	1	173910	3
P0A710	P0A8Z0	2	3	0	173910	3
P0A7N1	Q2EEQ2	1	2	0	173721	2
P00562	P00935	2	1	0	174319	2
P0AAD6	P30744	1	2	0	174205	3
P0AAD6	P38506	1	3	1	174205	3
P30744	P38506	2	3	0	174205	3
P0AFT2	P76316	2	1	0	174032	3
P37774	P76316	3	1	1	174032	3
P0AFT2	P37774	2	3	0	174032	3
P0A8J2	P0AEF0	1	2	0	174508	3
P0A8J2	P18390	1	3	1	174508	3
P0AEF0	P18390	2	3	0	174508	3
P0A8P8	P0AEG6	1	2	0	174225	5
P0A8P8	P21893	1	3	1	174225	5
P07012	P0A8P8	4	1	2	174225	5
P0A8N3	P0A8P8	5	1	3	174225	5
P0AEG6	P21893	2	3	0	174225	5
P07012	P0AEG6	4	2	1	174225	5
P0A8N3	P0AEG6	5	2	2	174225	5
P07012	P21893	4	3	0	174225	5
P0A8N3	P21893	5	3	1	174225	5
P07012	P0A8N3	4	5	0	174225	5
P0AAS5	P37306	1	2	0	173772	2
P0AD19	P60632	2	1	0	174070	2
P0A9U6	P76038	2	1	0	173919	2
P0A9F6	P0ADR2	1	2	0	174208	3
P0A9F6	P0ADR6	1	3	1	174208	3
P0ADR2	P0ADR6	2	3	0	174208	3
P0AAL6	P76192	1	2	0	173982	6
P0AAL6	P77564	1	3	1	173982	6
P0AAL6	P77375	1	4	2	173982	6
P0AAL6	P77409	1	5	3	173982	6
P0AAL6	P77147	1	6	4	173982	6
P76192	P77564	2	3	0	173982	6
P76192	P77375	2	4	1	173982	6
P76192	P77409	2	5	2	173982	6
P76192	P77147	2	6	3	173982	6
P77375	P77564	4	3	0	173982	6
P77409	P77564	5	3	1	173982	6
P77147	P77564	6	3	2	173982	6
P77375	P77409	4	5	0	173982	6
P77147	P77375	6	4	1	173982	6
P77147	P77409	6	5	0	173982	6
P69808	P77579	1	2	0	174120	5
P69808	P76524	1	3	1	174120	5
P69808	P77585	1	4	2	174120	5
P69808	P77439	1	5	3	174120	5
P76524	P77579	3	2	0	174120	5
P77579	P77585	2	4	1	174120	5
P77439	P77579	5	2	2	174120	5
P76524	P77585	3	4	0	174120	5
P76524	P77439	3	5	1	174120	5
P77439	P77585	5	4	0	174120	5
P46144	P76334	2	1	0	174039	4
P0AED9	P76334	3	1	1	174039	4
P09184	P76334	4	1	2	174039	4
P0AED9	P46144	3	2	0	174039	4
P09184	P46144	4	2	1	174039	4
P09184	P0AED9	4	3	0	174039	4
P0A8J4	P60720	1	2	0	173791	2
P0CF07	P0CF25	1	2	0	174098	2
P0A746	P76231	1	2	0	174000	2
P64503	P76275	1	2	0	174012	2
P0AE76	P36561	1	2	0	174043	3
P0AE76	P36562	1	3	1	174043	3
P36561	P36562	2	3	0	174043	3
P0ACH5	P27245	2	1	0	173959	3
P27245	P31121	1	3	1	173959	3
P0ACH5	P31121	2	3	0	173959	3
P00363	P0AC47	1	2	0	174472	6
P00363	P0A8Q0	1	3	1	174472	6
P00363	P0A8Q3	1	4	2	174472	6
P00363	P00811	1	5	3	174472	6
P00363	P0A901	1	6	4	174472	6
P0A8Q0	P0AC47	3	2	0	174472	6
P0A8Q3	P0AC47	4	2	1	174472	6
P00811	P0AC47	5	2	2	174472	6
P0A901	P0AC47	6	2	3	174472	6
P0A8Q0	P0A8Q3	3	4	0	174472	6
P00811	P0A8Q0	5	3	1	174472	6
P0A8Q0	P0A901	3	6	2	174472	6
P00811	P0A8Q3	5	4	0	174472	6
P0A8Q3	P0A901	4	6	1	174472	6
P00811	P0A901	5	6	0	174472	6
P06965	P76165	1	2	0	173965	3
P06965	P76164	1	3	1	173965	3
P76164	P76165	3	2	0	173965	3
P0AFR4	P77766	2	1	0	173913	3
P45848	P77766	3	1	1	173913	3
P0AFR4	P45848	2	3	0	173913	3
P77400	P77454	2	1	0	173761	2
P07762	P15067	1	2	0	174419	5
P07762	P0A6V1	1	3	1	174419	5
P07762	P0A6U8	1	4	2	174419	5
P07762	P0AC86	1	5	3	174419	5
P0A6V1	P15067	3	2	0	174419	5
P0A6U8	P15067	4	2	1	174419	5
P0AC86	P15067	5	2	2	174419	5
P0A6U8	P0A6V1	4	3	0	174419	5
P0A6V1	P0AC86	3	5	1	174419	5
P0A6U8	P0AC86	4	5	0	174419	5
P21165	P27862	1	2	0	174336	4
P0AFZ7	P21165	3	1	1	174336	4
P0ACB4	P21165	4	1	2	174336	4
P0AFZ7	P27862	3	2	0	174336	4
P0ACB4	P27862	4	2	1	174336	4
P0ACB4	P0AFZ7	4	3	0	174336	4
P0A855	P0A912	1	2	0	173815	3
P0A855	P45955	1	3	1	173815	3
P0A912	P45955	2	3	0	173815	3
P0A9V8	P32141	1	2	0	174330	3
P0A9V8	P32140	1	3	1	174330	3
P32140	P32141	3	2	0	174330	3
P0AEM4	P43533	1	2	0	173882	2
P67430	P77258	1	2	0	173981	3
P0AC81	P67430	3	1	1	173981	3
P0AC81	P77258	3	2	0	173981	3
P37342	P39409	1	2	0	174512	2
P31061	P77515	1	2	0	173960	3
P31061	P76155	1	3	1	173960	3
P76155	P77515	3	2	0	173960	3
P05847	P0AC35	1	2	0	174258	3
P05847	P39414	1	3	1	174258	3
P0AC35	P39414	2	3	0	174258	3
P0DMC7	P39838	2	1	0	174084	2
P37595	P75796	1	2	0	173832	5
P37595	P75797	1	3	1	173832	5
P37595	P75798	1	4	2	173832	5
P37595	P75799	1	5	3	173832	5
P75796	P75797	2	3	0	173832	5
P75796	P75798	2	4	1	173832	5
P75796	P75799	2	5	2	173832	5
P75797	P75798	3	4	0	173832	5
P75797	P75799	3	5	1	173832	5
P75798	P75799	4	5	0	173832	5
P46849	P46850	2	1	0	174421	2
P77165	P77324	1	2	0	173719	5
P77165	P77489	1	3	1	173719	5
P77165	P77183	1	4	2	173719	5
P75684	P77165	5	1	3	173719	5
P77324	P77489	2	3	0	173719	5
P77183	P77324	4	2	1	173719	5
P75684	P77324	5	2	2	173719	5
P77183	P77489	4	3	0	173719	5
P75684	P77489	5	3	1	173719	5
P75684	P77183	5	4	0	173719	5
P0ADJ5	P37657	2	1	0	174399	3
P37657	P37659	1	3	1	174399	3
P0ADJ5	P37659	2	3	0	174399	3
P75976	P75977	1	2	0	173894	9
P75976	P75978	1	3	1	173894	9
